,Başlık,İçerik,Kategori
36,20 ilde FETÖ operasyonu: 70 gözaltı,20 ilde FETÖ’ye yönelik son bir haftada düzenlenen “KISKAÇ-11” operasyonlarında 70 şüpheli yakalandı.,Türkiye
37,Kırmızı bültenle aranan 2 kişi İstanbul'da yakalandı,"İçişleri Bakanı Ali Yerlikaya, Interpol tarafından hakkında kırmızı bülten bulunan Talgat Baisaov ve Maxat Rakhishov'un İstanbul'da yakalandığını duyurdu.",Türkiye
38,Küçükçekmece'de fabrika yangını,Küçükçekmece'de bulunan bir fabrikada yangın çıktı. Yangın itfaiye ekiplerinin müdahalesiyle söndürüldü.,Türkiye
39,Kaldırımda yürüyen kadın arabanın altında kalmaktan kıl payı kurtuldu,"Tuzla'da kaldırımda yürüyen kadın, inşaata dalan otomobilin altında kalmaktan son anda böyle kurtuldu.",Türkiye
40,"Selçuk Bayraktar, Baykar'da Murat Kurum'u misafir etti","Baykar Yönetim Kurulu Başkanı ve Teknoloji Lideri Selçuk Bayraktar, Baykar'da AK Parti'nin İstanbul Büyükşehir Belediye (İBB) Başkan adayı Murat Kurum'u ağırladı.",Türkiye
41,Adıyaman'da iki otomobil çarpıştı: 5 yaralı,Adıyaman'ın Kahta ilçesinde iki otomobilin çarpışması sonucu 5 kişi yaralandı.,Türkiye
42,"Şanlıurfa'da zincirleme kaza: 3 ölü, 6 yaralı","Şanlıurfa'nın Siverek ilçesinde zincirleme trafik kazasında 3 kişi öldü, 6 kişi yaralandı. Kaza nedeniyle ulaşıma kapanan kara yolu, araçların kaldırılmasının ardından yeniden trafiğe açıldı.",Türkiye
43,Kontrolden çıkan çimento tankeri devrildi,"Ankara'da sürücüsünün kontrolünden çıkan çimento tankeri devrilirken, o anlar güvenlik kamerasına yansıdı.",Türkiye
44,Van'da zehir tacirlerine operasyon,Van'da sokak satıcılarına yönelik uyuşturucu operasyonlarında 29 şüpheli hakkında işlem yapıldı.,Türkiye
45,Cenazeden dönenleri taşıyan taksi bariyerlere çarptı: 4 yaralı,Rize'de cenazeden dönenleri taşıyan taksi bariyerlere çarptı. Meydana gelen trafik kazasında yaralanan 4 kişi çevre hastanelere kaldırıldı.,Türkiye
46,Seçim günü Türkiye'de hava nasıl olacak?,"Türkiye'de sıcaklık mevsim normalinin üzerinde seyrediyor. Hafta sonuna doğru dereceler giderek yükseliyor. Seçmen, 31 Mart Pazar günü yapılacak yerel seçimlere, parçalı ve az bulutlu bir havada girecek. Meteoroloji Genel Müdürlüğü, hava durumuna ilişkin tahminlerini de paylaştı.",Türkiye
