,Başlık,İçerik,Kategori
40,"Milli güreşçiler Demirtaş'tan gümüş, Göçen'den bronz madalya","Avrupa Güreş Şampiyonası'nda mücadele eden milli sporculardan Soner Demirtaş gümüş, Osman Göçen ise bronz madalya kazandı.",Spor
41,LaLiga lideri Real Madrid deplasmanında puan kaybetti,"İspanya Birinci Futbol Ligi (LaLiga) lideri Real Madrid, deplasmanda Rayo Vallecano ile 1-1 berabere kaldı.",Spor
42,Femke Bol'dan dünya rekoru,"Hollandalı atlet Femke Bol, kadınlar 400 metrede 49.24'lük derecesiyle dünya rekoru kırdı.",Spor
43,Galatasaray Ankara’da liderliğini sürdürdü,"Lider Galatasaray, Trendyol Süper Lig'in 26. haftasında deplasmanda MKE Ankaragücü’nü 3-0 mağlup etti.",Spor
44,Fenerbahçe Beko kupasını aldı,"Basketbol Erkekler ING Türkiye Kupası finalinde Anadolu Efes'i 80-67 yenen Fenerbahçe Beko, kupasını düzenlenen törenle aldı.",Spor
45,Basketbol Türkiye Kupası Fenerbahçe'nin,"Basketbol Erkekler ING Türkiye Kupası'nı, finalde Anadolu Efes'i 80-67 yenen Fenerbahçe Beko kazandı.",Spor
46,Ayhancan Güven 2024 sezonuna birincilikle başladı,"Milli otomobil sporcusu Ayhancan Güven, ekip arkadaşlarıyla Bathurst 12 Saat Yarışı'nı zaferle tamamladı.",Spor
47,Bilal Erdoğan 6. Etnospor Forumu'nu değerlendirdi,"Dünya Etnospor Konfederasyonu Başkanı Bilal Erdoğan, ""Uluslararası geleneksel Etnospor organizasyonlarında kullanılacak ortak kural setlerinin belirlenmesinde Dünya Etnospor Konfederasyonunun bir otorite konumuna gelmesiyle ilgili bir niyet belgesi imzaladık."" dedi.",Spor
48,Antalya'da düzenlenen 6. Etnospor Forumu sona erdi,"Dünya Etnospor Konfederasyonu tarafından, ""Geleneksel sporların ihyası"" parolasıyla Antalya'da düzenlenen 6. Etnospor Forumu, tamamlandı.",Spor
49,Altıncı kez şampiyon oldu,"Katar'da düzenlenen FINA Dünya Su Sporları Şampiyonası'nda heyecan devam ediyor. İsveçli Sarah Sjostrom, 50 metre kelebekte art arda altıncı kez şampiyon oldu.",Spor
50,Jordan Stolz dikkatleri üzerine çekti,"Dünya Sürat Pateni Şampiyonası'nda madalyalar sahibini buluyor. Erkekler 500 ve bin metrede altın madalya sevinci yaşayan Jordan Stolz, başarısı ile dikkatleri üzerine çekti.",Spor
51,Trabzonspor efsanesi Ahmet Suat Özyazıcı,"Trabzonspor'un efsanevi teknik direktörü Ahmet Suat Özyazıcı, vefatının 1. yılında anılıyor.",Spor
52,Başakşehir'den tarihi anlaşma,"RAMS Başakşehir, City Football Group ile futbol odaklı iş birliği anlaşması imzalandığını açıkladı.",Spor
