,Başlık,İçerik,Kategori
36,Türkiye elektrikli otomobil satışlarında AB'de ilk 5'i zorluyor,"Türkiye, bu yılın ilk iki ayında gerçekleştirdiği 8 bin 255 ""tam elektrikli"" otomobil satışıyla, birçok Avrupa Birliği (AB) ülkelerine kıyasla daha iyi performans gösterdi.",Ekonomi
37,Ekonomik güven endeksi martta yüzde 1 artışla 100 oldu,"Ekonomik güven endeksi, martta aylık bazda yüzde 1 artarak 100 değerini aldı. Endeks, Haziran 2023'te 101,3 değerini almıştı.",Ekonomi
38,Güneş enerjisi kurulu gücü 12 bin megavatı aştı,Türkiye'de güneş enerjisi kurulu gücü ilk kez 12 bin megavatı aştı ve 12 bin 425 megavata ulaştı.,Ekonomi
39,BIST 100 güne yükselişle başladı,"Borsa İstanbul'da BIST 100 endeksi, güne yüzde 0,65 yükselişle 8.863,66 puandan başladı.",Ekonomi
40,Küresel piyasalar pozitif seyrediyor,"Küresel piyasalarda, ABD Merkez Bankasının (Fed) faiz indirimine ne zaman başlayacağına ilişkin belirsizliklerin devam etmesine karşın pozitif bir seyir izlenirken, bugün ABD'de büyüme verileri başta olmak üzere yoğun veri gündemi yatırımcıların odağına yerleşti.",Ekonomi
41,Emeklilerin promosyon ödemeleri başladı,Emeklilerin banka promosyon tutarlarında artışa gidildi. Kamu bankaları 8 bin ile 12 bin lira arasında değişen tutarlarda promosyon ödeyecek. Başvurular bankalardan ya da e-devlet üzerinden yapılabiliyor. Promosyon ödemeleri bugün başladı.,Ekonomi
42,Bakan Bolat: Kamu kurumları İsrail firmaları ile ticaret yapmıyor,"Bakan Bolat, 7 Ekim'den bu yana İsrail ile karşılıklı ticaretin yüzde 33 azaldığını belirterek, ""Hükümet olarak kamu kurumları, devlet şirketleri asla İsrail firmaları ile ticaret yapmıyor"" açıklamasını yaptı.",Ekonomi
43,Bakan Şimşek: Yerel kalkınma için insana ve altyapıya yatırım yapıyoruz,"Bakan Şimşek, ""Yerel kalkınma için biz beşeri sermaye yani insana ve altyapıya yatırım yapıyoruz. Teşvik ve finansmanla Batman'ı kalkındırmak için yoğun bir çaba içerisindeyiz"" açıklamasını yaptı.",Ekonomi
44,BIST 100 günü yatay tamamladı,"Borsa İstanbul'da BIST 100 endeksi, günü yüzde 0,01 değer kaybederek 8.806,72 puandan tamamladı.",Ekonomi
45,İki kamu bankasına altın ithalatı kotası,"Hazine ve Maliye Bakanlığı'nca, Ziraat Bankası ve Vakıf Katılım Bankası'na kuyum işletmelerinin ihtiyaçlarının karşılanması için işlenmemiş altın ithalatı kotası tahsis edildi.",Ekonomi
46,Küresel yenilenebilir enerji kurulu gücünde rekor artış,Geçen yıl küresel yenilenebilir enerji kapasitesi 473 gigavatlık rekor artışla toplam 3 bin 870 gigavata yükseldi.,Ekonomi
47,Kira beyannamesinde son gün 1 Nisan,"Kira geliri elde eden mülk sahiplerinin beyanname verme süresi 1 Nisan'da sona erecek. Tahakkuk eden vergilerin birinci taksiti damga vergisiyle 1 Nisan'a, ikinci taksiti ise 31 Temmuz'a kadar ödenebilecek.",Ekonomi
48,Çadır ve karavanlara talep arttı,Ramazan Bayramı tatilinin 9 güne çıkarılması ve yaklaşan yaz sezonu öncesi kamp yerlerinde hazırlıklar hızlanırken çadır ve karavanlara talepte artış yaşanıyor.,Ekonomi
49,Borsa güne yükselişle başladı,"Borsa İstanbul'da BIST 100 endeksi, güne yüzde 0,30 yükselişle 8.834,01 puandan başladı.",Ekonomi
