,Başlık,İçerik,Kategori
527,Geleneksel hayvan kukla sanatı: Örteke,Dombranın hareketli ezgileri ve hoplayıp duran bir dağ tekesi kuklası… Enteresan ve bir o kadar da sevimli olan bu Kazak sanatının adı örteke. Kazakistan'ın geleneksel hayvan kukla sanatı örtekeyi anlattık.,Kültür Sanat
528,Malazgirt'teki kazı çalışmalarında toprakla kaplı han ortaya çıkarıldı,"Muş'un Malazgirt ilçesinde, Malazgirt Savaşı'nın yapıldığı alanın tespiti amacıyla yürütülen kazı çalışmalarında, şehir surları içinde çevresi toprakla kaplı han ortaya çıkarıldı.",Kültür Sanat
529,Tarihi Uzun Çarşı’da restorasyon sona erdi,"Afyonkarahisar’da 100 yıldan fazla geçmişe sahip tarihi Uzun Çarşı’da başlatılan restorasyon çalışması sona erdi. Çarşı, tarihi dokuya uygun olarak düzenlendi.",Kültür Sanat
530,Bu hafta 8 film vizyona girecek,"Sinema salonlarında bu hafta ikisi yerli, 8 film vizyona girecek.",Kültür Sanat
531,'Seyahatsever' gençler turizm kenti Antalya'yı keşfediyor,"Gençlik ve Spor Bakanlığının (GSB), gençlerin Bakanlık yurtlarında ücretsiz konaklamasına imkan sağlayan ""Seyahatsever"" projesinden yararlanan gençler, denizi, kumu, güneşi, tarihi ve turistik mekanlarıyla cezbeden Antalya'da tatil yapmanın tadını çıkarıyor.",Kültür Sanat
532,Müzisyen Marcus Miller İstanbul'da konser verecek,"ABD'li caz ve R&B müzisyeni Marcus Miller, Wolkswagen Arena'da hayranlarıyla buluşacak.",Kültür Sanat
533,Harput Kalesi'nde bin yıllık saray mutfağı bulundu,Elazığ'da tarihi Harput Kalesi'ndeki arkeolojik kazı çalışmaları sonucu yaklaşık 1000 yıllık olduğu tahmin edilen saray mutfağı ortaya çıkarıldı.,Kültür Sanat
534,Bakan Ersoy devlet tiyatrolarında sahnelenecek temsiller hakkında bilgi aldı,"Kültür ve Turizm Bakanı Mehmet Nuri Ersoy, Devlet Tiyatrolarında (DT), yeni sezonda sahnelenecek temsiller hakkında bilgi aldı, kostüm hazırlık çalışmalarını inceledi.",Kültür Sanat
535,Sakarya Meydan Muharebesinde Yunanlıların uyguladığı zulmü tetkik-i mezalim raporu ortaya koyuyor,"Yunanlıların, Sakarya Meydan Muharebesi süresince Türk halkına uyguladığı zulmün ayrıntıları, Halide Edip Adıvar, Yusuf Akçura ve Yakup Kadri Karaosmanoğlu tarafından kayıt altına alınan ""Tetkik-i Mezalim Heyeti""nin raporunda yer alıyor.",Kültür Sanat
536,Asarcık Tepesi'nde Orta Tunç Çağı'ndan günümüze yerleşim izleri bulundu,Muğla'nın Kavaklıdere ilçesinde devam eden Asarcık Tepesi kazılarında tarihsel süreç içinde Anadolu Selçuklu dönemi ve Hitit Uygarlığı'ndan Orta Tunç Çağı'na uzanan kültür tabakalarına ulaşıldı.,Kültür Sanat
