,Başlık,İçerik,Kategori
39,“Sulak Alanlar ve İnsanlık Refahı”,"2 Şubat dünyada ‘Sulak Alanlar Günü’ olarak kutlanıyor. Tarım ve Orman Bakanlığı, Türkiye’de 1,6 milyon hektar büyüklüğünde 6 bin 418 sulak alanın kayıt altına aldığını açıkladı. Bakanlık bu yılki temayı ise “Sulak Alanlar ve İnsanlık Refahı” olarak belirledi.",Çevre
40,Deniz tabanının bozulması iklim değişikliğinin hızlanmasına yol açabilir,"Bilim insanları, trol ile balık avlama gibi faaliyetler nedeniyle deniz tabanının bozulmasının, iklim değişikliğinin hızını artırabileceğini tespit etti.",Çevre
41,Ecdat emaneti zeytinliklerin sayımları yapılarak koruma altına alınıyor,"Vakıflar Genel Müdürlüğü, ecdat emaneti zeytinliklerin dronlar aracılığıyla havadan ve yerden ölçüm tekniklerini kullanarak sayımını yapıyor.",Çevre
42,Atmosferdeki karbondioksit oranı 144 yılda yüzde 45 arttı,Atmosferdeki karbondioksit oranı 1880 yılından bu yana yüzde 45 artarak rekor seviyeye ulaştı.,Çevre
43,Tekirdağ'da geliştirilen yerli hibrit ayçiçeği tohumu Rusya'da yeşeriyor,Tekirdağ'da bir firma tarafından geliştirilen ve üretim izni alınan yerli hibrit ayçiçeği tohumu Rusya'ya ihraç ediliyor.,Çevre
44,"Meclis'teki ""Sıfır Atık"" çalışmalarıyla 17 ton sera gazı salınımı engellendi","Sıfır Atık Projesi kapsamında, Meclis'te 2023 yılında 105 ton kağıt, 2 ton plastik, 3 ton cam, 1 ton metal, 600 kilogram organik atık, 4250 litre bitkisel atık yağ, 1500 litre atık motor yağı geri dönüştürüldü.",Çevre
45,Beyaz gergedanda tüp bebek tedavisi,Dünyada sadece iki tane kalan kuzey beyaz gergedanının yok oluşun eşiğinden dönmesi için ilk kez uygulanan tüp bebek tedavisi umut veriyor.,Çevre
46,Akdeniz'deki plastik kirliliği alarm veriyor,"Uzmanlar, Akdeniz'deki kirlilik yüküne yılda ortalama 229 bin 465 ton plastik atık eklendiği, plastiklerin üretim ve tüketimindeki artışın devam etmesi durumunda kirliliğin gelecek 10 yılda 3 kat artacağı uyarısında bulunuyor.",Çevre
47,Muş'ta 34 toy kuşu görüntülendi,Doğa Koruma Milli Parklar (DKMP) 14. Bölge Müdürlüğü ekiplerince Muş'ta 34 toy kuşu görüntülendi.,Çevre
48,Ormancılık yatırımlarında fidan üretimine odaklanıldı,"Orman Genel Müdürlüğüne (OGM), bu yıl içinde yapılacak ve 66 ilde uygulanacak fidan üretimi, bakımı ve fidanlıkların alt yapısını güçlendirecek ekipmanlar için 1 milyar 350 milyon lira ödenek sağlandı.",Çevre
49,İzmir'de sulak alanlardaki kış kuşu sayısında artış gözleniyor,"İzmir'de bulunan sulak alanlardaki kış kuşu sayısında, geçen yıla göre artış gözlemleniyor.",Çevre
50,Kastamonu'nun Hanönü ilçesinde 35 endemik tür tespit edildi,Kastamonu'nun Hanönü ilçesinde yapılan çalışmalar sonucunda 35 endemik tür tespit edildiği bildirildi.,Çevre
51,"Nesli tehlike altında olan semenderi, sulama göletinde şans eseri bulundu",Bursa’da bir vatandaşın dikkati sonucu sulama göletinde nesli tükenmekte olan Anadolu şeritli semenderi bulundu. Semenderi su içi bitkilerince zengin farklı bir alana taşındı.,Çevre
52,Enerji sektörünün yükselen yıldızı: Depolama,"İklim krizinin etkisini hızlandırdığı dünyada yenilenebilir enerjinin önemi de paralel olarak artıyor. Türkiye’de de güneşten, rüzgardan, sudan devlet ve özel sektör yatırımlarıyla yenilenebilir enerji üretimi mevcut. Ancak bu üretimden elde edilen enerjinin daha verimli kullanımı depolama ile mümkün.",Çevre
53,Sonbahar yağışları kuraklığa ilaç oldu,"Sonbaharda normalin üzerinde yağış sayesinde barajların doldu. Uzmanlar, yağışların kuraklığa ilaç olduğunu söyledi.",Çevre
54,Efteni Gölü Kuş Cenneti'nde 22 türden 2 bin 111 kuş listelendi,Düzce Efteni Gölü Kuş Cenneti'nde yapılan sayımda 22 türden 2 bin 111 kuş kayıt altına alındı.,Çevre
55,Sakarya'da beyaz örtüyle kaplanan Çam Dağı'nın eteklerini kardelenler süsledi,"Sakarya'nın Kocaali ve Hendek ilçeleri arasında bulunan 900 rakımlı Çam Dağı bölgesinde açan kardelenler, yeşil gövdesiyle ormanlara, beyaz çiçeğiyle kar örtüsüne ahenk kattı.",Çevre
56,"""Türkiye Yeşil Sanayi Projesi"" Lüleburgaz'da tanıtıldı","Kırklareli'nin Lüleburgaz ilçesinde ""Türkiye Yeşil Sanayi Projesi"" bilgilendirme toplantısı gerçekleştirildi.",Çevre
57,"Brezilya, Amazonlardaki ormansızlaşmanın geçen yıl yüzde 50 azaldığını açıkladı","Brezilya Çevre ve İklim Değişikliği Bakanlığı, Amazonlardaki ormansızlaşmanın 2023 sonuna kadar yüzde 50 azaldığını duyurdu.",Çevre
58,Araştırma: 2023'te okyanus suyu sıcaklıkları 5. kez üst üste rekor kırdı,"Çin'in öncülüğünde yapılan uluslararası araştırma, 2023'te okyanus suyu sıcaklıklarının 5. kez üst üste rekor kırdığını ve sera gazı salınımının azaltılması halinde bile yüz yıl boyunca artmaya devam edeceğini ortaya koydu.",Çevre
59,ABD'ye kış aylarının en düşük sıcaklıklarını yaşatacak kutup soğukları geliyor,"ABD'ye kutup soğuklarının yaklaştığı, ülkenin orta kesimlerinde kış aylarının en soğuk günlerinin yaşanmasının beklendiği belirtildi.",Çevre
60,2023 en sıcak yıl olarak kayıtlara geçti,"2023 yılı, iklim değişikliğinin yol açtığı ve doğal El Nino hava olayının da etkisiyle, kayıtlara geçen en sıcak yıl olarak teyit edildi.",Çevre
61,Bilim insanları 518 milyon yıllık etçil solucan fosili buldu,"New Atlas'ın haberine göre, Bristol Üniversitesi araştırmacıları, ""Timorebestia"" ya da ""terör yaratığı"" olarak adlandırılan solucanın, suda yaşayan ilk etobur canlılardan olduğunu düşünüyor.",Çevre
62,Avustralya'da ölümcül en büyük huni yuvalı erkek örümcek bulundu,"Dünyanın en zehirli eklem bacaklılarından huni yuvalı örümceğin en büyük erkek örneği, Avustralya'nın Sidney kentinde bulundu.",Çevre
